mapblklot,analysis_neighborhood,FZP Planning Code
4025007,Mission,RH-2
6343007B,Excelsior,RH-1
5744026,Bernal Heights,RH-2
5657013,Bernal Heights,RH-1
5688027,Bernal Heights,RH-1
0130002,Chinatown,NCD-NORTH BEACH
6125002B,Portola,RH-1
5617033,Bernal Heights,RH-2
5896056,Excelsior,RH-1
5941013,Excelsior,RH-1
6247004,Visitacion Valley,NCD-LELAND
7049046,Oceanview/Merced/Ingleside,RH-1
6356021,Visitacion Valley,RH-1
6956028,Outer Mission,NCD-EXCELSIOR
3998017,Potrero Hill,UMU
6084001,Excelsior,NCD-EXCELSIOR
6951009G,Outer Mission,RH-1
7085043,Oceanview/Merced/Ingleside,RH-1
4809029,Bayview Hunters Point,RH-1
3739018,Financial District/South Beach,TB DTR
7034030,Oceanview/Merced/Ingleside,RH-1
5697017,Bernal Heights,RH-1
5534005,Bernal Heights,RH-1
7094042,Oceanview/Merced/Ingleside,RH-1
7089026,Oceanview/Merced/Ingleside,RH-1
6953049,Outer Mission,RH-1
4208032,Mission,RH-2
5330004,Bayview Hunters Point,RH-1
5541002,Bernal Heights,RH-2
5395020,Bayview Hunters Point,RH-1
5717016,Bernal Heights,RH-2
4143018A,Mission,RM-1
0336015,Tenderloin,RC-4
3609015,Mission,NCT-MISSION
5668034,Bernal Heights,RH-1
4277013,Mission,MUR
5503022,Bernal Heights,RH-2
6245042,Visitacion Valley,RH-2
3725078,South of Market,C-3-S
6005018,Excelsior,RH-1
0309017,Financial District/South Beach,C-3-R
6953037,Outer Mission,RH-1
5411004,Bayview Hunters Point,NCD-BAYVIEW
6475046,Excelsior,RH-1
4158003,Potrero Hill,RH-2
6159020,Portola,RH-1
6246040,Visitacion Valley,RH-1
0291002,Financial District/South Beach,C-3-O
6692059,Bernal Heights,RH-2
3519035A,South of Market,RED
5703032,Bernal Heights,RH-1
5384B020,Bayview Hunters Point,RH-1
5887043,Excelsior,RH-1
4967041,Bayview Hunters Point,RH-1
5671031,Bernal Heights,RH-2
5709019,Bernal Heights,RH-2
5297031,Bayview Hunters Point,RH-2
5517079,Bernal Heights,RH-2
6420030,Excelsior,RH-1
5377023,Bayview Hunters Point,RH-1
6995037,Oceanview/Merced/Ingleside,RH-1
7003032,Oceanview/Merced/Ingleside,RH-1
5324012,Bayview Hunters Point,RH-1
5963037,Excelsior,RH-1
7087006,Oceanview/Merced/Ingleside,RH-1
5520041,Bernal Heights,RH-1
3784086,South of Market,WMUO
6321014,Visitacion Valley,RH-1
6247016,Visitacion Valley,NCD-LELAND
6524017,Mission,RH-2
5404018,Bayview Hunters Point,RH-1
4207007,Mission,RH-2
3546026,Mission,RTO-M
5858045,Portola,RH-1
5840022,Bernal Heights,RH-1(D)
4281A016F,Potrero Hill,RH-2
6402034,Excelsior,RH-1
5399008,Bayview Hunters Point,RH-1
3753001,South of Market,MUR
6363002,Visitacion Valley,RM-1
6234008,Visitacion Valley,RH-1
7143029,Outer Mission,RH-1
0179034,Chinatown,CRNC
5312045,Bayview Hunters Point,RH-2
4968034,Bayview Hunters Point,NC-3
6517003,Mission,RTO-M
3961011,Mission,UMU
5377028,Bayview Hunters Point,RH-1
0833003,Hayes Valley,NCT-HAYES
6513010C,Mission,RH-3
3759014,South of Market,SALI
7134021,Oceanview/Merced/Ingleside,RH-1
3612074,Mission,RH-3
3555045,Mission,RTO-M
5968012,Excelsior,RH-1
6753068,Outer Mission,RH-1
6233037,Visitacion Valley,RH-1
6991035,Oceanview/Merced/Ingleside,RH-1
6258011B,Visitacion Valley,RH-1
0729045,Western Addition,RM-3
6577038,Noe Valley,RH-2
7119017,Oceanview/Merced/Ingleside,RH-1
4967011,Bayview Hunters Point,RH-1
5340021,Bayview Hunters Point,RH-1
6273002D,Excelsior,RH-1
6994036,Oceanview/Merced/Ingleside,RH-1
5969020,Portola,RH-1
5435001B,Bayview Hunters Point,RH-1
6499012,Excelsior,RH-1(D)
0163021,North Beach,NCD-BROADWAY
4150014,Mission,RM-1
7086026,Oceanview/Merced/Ingleside,RH-1
6004057,Excelsior,RH-1
4023004A,Mission,UMU
6047043,Portola,RH-1
4072001C,Potrero Hill,RH-2
5336019,Bayview Hunters Point,RH-1
3617060,Mission,RH-3
6074015B,Excelsior,RH-1
6796050,Outer Mission,RH-1
6119024,Portola,RH-1
5938027C,Excelsior,RH-1
6322029,Visitacion Valley,RH-1
3731104,South of Market,RED
4262013,Mission,RH-2
5067A003A,Visitacion Valley,RH-1
5405021,Bayview Hunters Point,RH-1
0807022,Hayes Valley,RTO
7154055,Outer Mission,RH-1
7028A001,Outer Mission,RH-1
5307008,Bayview Hunters Point,RH-1
5736004,Bernal Heights,RH-1
5969018,Portola,RH-1
5743015,Bernal Heights,RH-1
7005009,Oceanview/Merced/Ingleside,RH-1
6077010,Excelsior,RH-1
5428B003,Bayview Hunters Point,RH-1
3608019,Mission,RH-3
6720077,Bernal Heights,RH-2
3514009,Mission,NCT-3
3591019,Mission,UMU
4108003H,Potrero Hill,UMU
3568047,Mission,RTO-M
4964015,Bayview Hunters Point,RH-1
5738008,Bernal Heights,RH-1
7124014,Oceanview/Merced/Ingleside,RH-1
5521018,Bernal Heights,RH-1
4027021,Potrero Hill,RH-2
5928028,Portola,RH-1
4064026A,Potrero Hill,RH-2
3780007,South of Market,UMU
5722013,Bernal Heights,RH-1
5323022,Bayview Hunters Point,RH-1
6156001,Portola,RM-1
7133023,Oceanview/Merced/Ingleside,RH-1
6511036,Mission,RH-3
7010003,Oceanview/Merced/Ingleside,RH-1
5882006,Portola,RH-2
5730016,Bernal Heights,RH-1
6276041A,Excelsior,RH-2
5950001,Excelsior,RH-1
5529005,Bernal Heights,RH-1
4809019A,Bayview Hunters Point,RH-1
3151001,Outer Mission,RH-1
5357019,Bayview Hunters Point,RH-2
6204055,Visitacion Valley,RH-1
7062022,Oceanview/Merced/Ingleside,RH-1
5384C007B,Bayview Hunters Point,RH-1
5513010,Bernal Heights,RH-2
6953063,Outer Mission,RH-1
6278013,Excelsior,RH-1
7094020,Oceanview/Merced/Ingleside,RH-1
5325020,Bayview Hunters Point,RH-1
3616048,Mission,NCT-MISSION
6096009,Excelsior,RH-1
5613020,Bernal Heights,RH-1
6045014,Portola,RH-1
3725079,South of Market,NCT-SOMA
6178011,Visitacion Valley,RH-1
5893037,Excelsior,NCD-EXCELSIOR
5335A053,Bayview Hunters Point,RH-1
7101B023,Outer Mission,RH-1
5501022,Bernal Heights,RH-2
6990034,Oceanview/Merced/Ingleside,RH-1
7113011,Oceanview/Merced/Ingleside,RH-1
6035023,Portola,RH-1
5306001A,Bayview Hunters Point,RH-1
6177034,Visitacion Valley,RH-1
3722023,Financial District/South Beach,C-3-O(SD)
5556053,Bernal Heights,RH-1
5383020A,Bayview Hunters Point,RH-1
5526053,Bernal Heights,RH-2
7020027,Oceanview/Merced/Ingleside,RH-1
7121012,Oceanview/Merced/Ingleside,RH-1
6467010A,Excelsior,RH-1
4710003,Bayview Hunters Point,RH-2
5934037,Portola,RH-1
5613036,Bernal Heights,RH-1
5910013A,Excelsior,RH-1
6616038,Noe Valley,RH-2
5858021,Portola,RH-1
3609039,Mission,NCT-VALENCIA
0345017,Tenderloin,RC-4
3610038,Mission,RTO-M
6050027,Portola,RH-1
5670022,Bernal Heights,RH-2
3555030,Mission,RTO-M
0832073,Hayes Valley,NCT-HAYES
7137002,Oceanview/Merced/Ingleside,RH-1
6280029,Excelsior,RH-1
5890031,Excelsior,RH-1
6011003,Excelsior,RH-1
6342043,Excelsior,RH-1
4790013,Bayview Hunters Point,RH-1
6014013,Excelsior,RH-2
6019010A,Excelsior,RH-2
0210034,Chinatown,CRNC
5296031,Bayview Hunters Point,NCD-BAYVIEW
7381047,Lakeshore,RH-1
4113001,Potrero Hill,P70-MU
7001005,Oceanview/Merced/Ingleside,RH-1
0946010,Marina,RH-2
6007017,Excelsior,RH-1
6260017,Visitacion Valley,RH-1
4212019,Mission,NCT-24TH-MISSION
0128010,Nob Hill,RH-2
6024041,Excelsior,RH-1
5686012,Bernal Heights,RH-1
6309B016,Visitacion Valley,RH-1
6015018,Excelsior,RH-2
4079002,Mission,RH-2
6753028,Outer Mission,RH-1
5334015,Bayview Hunters Point,RH-1
5518019,Bernal Heights,NCD-MISSION BERNAL
0319012,Tenderloin,RC-4
5462007,Bayview Hunters Point,RH-1
3609090,Mission,RTO-M
6115029,Portola,RH-1
6476024,Excelsior,RH-1
5342002B,Bayview Hunters Point,RH-2
7136039,Oceanview/Merced/Ingleside,RH-1
3607002,Mission,RH-3
6348002C,Excelsior,RH-1
7005026,Oceanview/Merced/Ingleside,RH-1
3576070,Mission,RTO-M
5979005,Portola,RH-1
6237017,Visitacion Valley,RH-1
5919011,Portola,RH-2
4212003G,Mission,RH-2
5965030,Excelsior,RH-1
5629024,Bernal Heights,RH-1
6532038,Mission,RH-3
5621011,Bernal Heights,RH-1
4147012,Mission,RH-2
6080021,Excelsior,RH-1
7065015B,Outer Mission,RH-1
7015035,Oceanview/Merced/Ingleside,RH-1
6525017,Mission,RH-3
3147029,Outer Mission,RH-1
7089030,Oceanview/Merced/Ingleside,RH-1
3596055,Mission,RTO-M
6341006,Excelsior,RH-1
6418049,Excelsior,RH-2
5935046,Excelsior,RH-1
3787007,South of Market,CMUO
3574018,Mission,RH-3
7110A029,Outer Mission,RH-1
3778001D,South of Market,MUG
4279022,Mission,RH-2
6320008C,Visitacion Valley,RH-2
5399010,Bayview Hunters Point,RH-1
5449029,Portola,NCD-SAN BRUNO AVENUE
5840023,Bernal Heights,RH-1(D)
5718038,Bernal Heights,RH-2
6249013,Visitacion Valley,NCD-LELAND
6420032,Excelsior,RH-1
6965A034,Outer Mission,RH-1
5290044,Bayview Hunters Point,RH-2
7085041,Oceanview/Merced/Ingleside,RH-1
5537020,Bernal Heights,RH-1
6042029,Portola,RH-1
5941026,Excelsior,RH-1
6520032,Mission,RH-3
3568023,Mission,RTO-M
3504013,Mission,NCT-3
6405027,Excelsior,RH-1
3590019,Mission,NCT-MISSION
6283001,Excelsior,RH-1
7122009,Oceanview/Merced/Ingleside,RH-1
3568002,Mission,NCT-VALENCIA
4206001,Mission,RH-2
7106013,Oceanview/Merced/Ingleside,RH-1
0117008,Chinatown,NCD-NORTH BEACH
4100003C,Potrero Hill,RH-2
4268011,Mission,RH-3
5517003,Bernal Heights,NC-1
3633010,Mission,RH-3
6234007,Visitacion Valley,RH-1
7002033,Oceanview/Merced/Ingleside,RH-1
5659011,Bernal Heights,RH-1
6530011A,Mission,RTO-M
5408005,Bayview Hunters Point,RH-1
5743023,Bernal Heights,RH-1
6802014,Outer Mission,RH-1
4788023A,Bayview Hunters Point,RH-2
7059021,Oceanview/Merced/Ingleside,RH-1
6348013C,Excelsior,RH-1
5670027,Bernal Heights,RH-2
6448033,Excelsior,RH-1
0107008,Financial District/South Beach,C-2
0284018,Nob Hill,RC-4
4158058,Potrero Hill,RH-2
3510026,South of Market,RED-MX
6308005G,Visitacion Valley,RH-1
5802019,Bernal Heights,RH-1(D)
6281016,Excelsior,RH-1
3754057,South of Market,NCT-SOMA
5527030,Bernal Heights,RH-1
5932002,Portola,RH-1
5417034,Bayview Hunters Point,RH-1
6795D018,Outer Mission,RH-1
6250011,Visitacion Valley,RH-1
7003016,Oceanview/Merced/Ingleside,RH-1
0654011,Pacific Heights,NCD-UPPER FILLMORE
7053004E,Oceanview/Merced/Ingleside,RH-1
6402030,Excelsior,RH-1
5410036,Bayview Hunters Point,RH-1
0677146,Pacific Heights,RM-1
5828007,Bernal Heights,RH-2
6518013A,Mission,RTO-M
5462018,Bayview Hunters Point,RH-1
6017009,Excelsior,RH-1
6463032,Excelsior,RH-1
5338052,Bayview Hunters Point,RH-2
0853006,Hayes Valley,NCT-3
6320012,Visitacion Valley,RH-2
6486034,Excelsior,RH-1
5462003,Bayview Hunters Point,RH-1
6050001A,Portola,RH-2
3578048A,Mission,RH-3
0132029,North Beach,NCD-NORTH BEACH
7104030,Oceanview/Merced/Ingleside,RH-1
0753039,Western Addition,RH-3
6153002B,Portola,RH-1
7087001A,Oceanview/Merced/Ingleside,RH-1
0272001,Nob Hill,RM-4
5383023B,Bayview Hunters Point,RH-1
5384003C,Bayview Hunters Point,RH-1
6245013,Visitacion Valley,RH-2
5328027,Bayview Hunters Point,RH-1
6083030,Excelsior,NCD-EXCELSIOR
6720011C,Bernal Heights,RH-1
6014034,Excelsior,NCD-EXCELSIOR
3613040,Mission,RH-3
3719009,Financial District/South Beach,C-3-O(SD)
6009016,Excelsior,RH-1
0754010,Western Addition,RM-3
6205003B,Visitacion Valley,RH-1
3775067,Financial District/South Beach,SPD
3154012,Outer Mission,RH-1
3504011,Mission,NCT-3
3208A001D,Outer Mission,RH-1
5439001,Bayview Hunters Point,RH-1
7046A010,Outer Mission,RH-1
6413002,Excelsior,NCD-EXCELSIOR
5428F010,Bayview Hunters Point,RH-1
6518017,Mission,RTO-M
6780038,Outer Mission,RH-1
6417025,Excelsior,RH-1(D)
6004061,Excelsior,RH-1
4591B040,Bayview Hunters Point,RM-1
0322003,Tenderloin,RC-4
0226041,Chinatown,CCB
3576004,Mission,NCT-MISSION
5341017,Bayview Hunters Point,RH-2
6403032,Excelsior,RH-1
4074011,Potrero Hill,RH-2
3145027,Outer Mission,RH-1
0285010,Financial District/South Beach,RC-4
0809022,Hayes Valley,NCT-HAYES
6240001A,Visitacion Valley,RH-1
6407001B,Excelsior,RH-1
5810004,Bernal Heights,RH-1
5556040,Bernal Heights,RH-1
7046A002,Outer Mission,RH-1
5381013,Bayview Hunters Point,RH-1
6153008A,Portola,RH-1
0744009,Western Addition,RM-4
0774020,Western Addition,NCT-FILLMORE
3576113,Mission,NCT-VALENCIA
5258031,Bayview Hunters Point,RH-1
4159052,Potrero Hill,RH-2
0596001,Russian Hill,NCD-PACIFIC
6782024,Outer Mission,RH-1
4068013,Potrero Hill,RH-2
3634025,Mission,RH-3
6048001B,Portola,NCD-SAN BRUNO AVENUE
6082016,Excelsior,RH-1
0693025,Tenderloin,RC-4
5875008,Portola,RH-1
3757142,South of Market,SALI
4269023,Mission,NCT-24TH-MISSION
5982001,Portola,NCD-SAN BRUNO AVENUE
0661029,Pacific Heights,RH-2
5544026,Bernal Heights,RH-1
5853007,Portola,RH-1
5940027C,Excelsior,RH-1
6463013,Excelsior,RH-1
5335C005A,Bayview Hunters Point,RH-1
5972026,Portola,RH-1
4336012,Mission,RH-2
6117088,Portola,RH-1
7091047,Oceanview/Merced/Ingleside,RH-1
5324001,Bayview Hunters Point,RH-1
5905022,Excelsior,RH-1
3607035,Mission,RH-3
0225003,Chinatown,CVR
5682005,Bernal Heights,RH-1
5318039,Bayview Hunters Point,RH-2
7064A033,Outer Mission,RH-1
4030025,Potrero Hill,RH-2
6010017,Excelsior,RH-1
5535001,Bernal Heights,RH-1
5888017,Excelsior,RH-1
7161051A,Outer Mission,RH-1
5357026,Bayview Hunters Point,RH-1
7103032,Oceanview/Merced/Ingleside,RH-1
0158032,Nob Hill,RM-2
6463016,Excelsior,RH-1
6490062,Excelsior,RH-1
7032A030,Outer Mission,RH-1
0317002,Tenderloin,C-3-G
7077001,Oceanview/Merced/Ingleside,RH-1
3965022,Mission,UMU
6201030,Visitacion Valley,RH-1
5948005A,Excelsior,RH-1
3576051,Mission,RTO-M
4938008,Bayview Hunters Point,RH-1
6094013A,Excelsior,RH-1
6961009,Outer Mission,RH-1
5534006,Bernal Heights,RH-1
6081004,Excelsior,RH-1
7078007,Oceanview/Merced/Ingleside,RH-1
5527015A,Bernal Heights,RH-2
3149021,Outer Mission,RH-1
5337022,Bayview Hunters Point,RH-1
0340007,Tenderloin,RC-4
6343014,Excelsior,RH-1
6256020,Visitacion Valley,RH-1
0345001,Tenderloin,RC-4
4108013,Potrero Hill,RH-3
7011002,Oceanview/Merced/Ingleside,RH-1
6971B009,Outer Mission,RH-1
5518022,Bernal Heights,RH-2
6469004B,Excelsior,RH-1
5939006,Excelsior,RH-1
6358006,Visitacion Valley,RH-1
3646013,Mission,RH-3
6255005,Visitacion Valley,RH-1
0165004,Financial District/South Beach,C-2
7044C016,Outer Mission,RH-1
5410030,Bayview Hunters Point,RH-1
5574005,Bernal Heights,RH-1
5736018,Bernal Heights,RH-1
5832011,Bernal Heights,RH-1(D)
4268035,Mission,NCT-24TH-MISSION
3647023,Mission,RH-3
5519020A,Bernal Heights,RH-1
6958017,Outer Mission,RH-1
4035029,Potrero Hill,RH-2
5331002,Bayview Hunters Point,RH-1
5963A001,Excelsior,RH-1
0104026,North Beach,NCD-NORTH BEACH
6474033,Excelsior,NCD-EXCELSIOR
0292007,Financial District/South Beach,C-3-O
7020030,Oceanview/Merced/Ingleside,RH-1
5688021,Bernal Heights,RH-1
0651019,Pacific Heights,RH-2
3206017A,Outer Mission,RH-1
3643041,Mission,RTO-M
6970024I,Outer Mission,RH-1
3589097,Mission,NCT-VALENCIA
6597007N,Bernal Heights,RH-2
6204071,Visitacion Valley,RH-1
5708024,Bernal Heights,RH-2
6304031,Visitacion Valley,RH-1
5897022,Excelsior,RH-1
0157046,Nob Hill,RH-3
6091001,Excelsior,RH-1
5696032,Bernal Heights,RH-1
4787007B,Bayview Hunters Point,RH-1
5383023C,Bayview Hunters Point,RH-1
6017024,Excelsior,RM-1
7381058,Lakeshore,RH-1
4283B002,Potrero Hill,RH-1
7115005,Oceanview/Merced/Ingleside,RH-1
5384C012C,Bayview Hunters Point,RH-1
5726025,Bernal Heights,RH-1
5715002,Bernal Heights,RH-2
6088013,Excelsior,RH-1
0826016,Hayes Valley,RM-1
7381053,Lakeshore,RH-1
3646004,Mission,RH-3
6169004,Portola,RH-1
3587078,Mission,RH-3
3643040,Mission,RTO-M
4214008,Mission,RH-2
5690043,Bernal Heights,RH-1
7020016B,Oceanview/Merced/Ingleside,RH-1
6307004G,Visitacion Valley,RH-1
5527033,Bernal Heights,RH-1
7072042A,Oceanview/Merced/Ingleside,RH-1
5877035,Portola,RH-1
5882033,Portola,RH-1
5826003,Bernal Heights,RH-2
5397013,Bayview Hunters Point,RH-1
3616027,Mission,NCT-VALENCIA
0348006,Tenderloin,C-3-G
6345008,Excelsior,RH-1
5723027,Bernal Heights,RH-1
5321040,Bayview Hunters Point,RH-2
VACSTWIL,Western Addition,RM-4
5712047,Bernal Heights,RH-2
5305044,Bayview Hunters Point,RH-2
3762152,South of Market,CMUO
5927005,Portola,RH-1
5393003,Bayview Hunters Point,RH-1
5740028,Bernal Heights,RH-1
6956027,Outer Mission,RH-1
4011017,Potrero Hill,RH-3
5354033,Bayview Hunters Point,RH-1
5384D004,Bayview Hunters Point,RH-1
7048013,Oceanview/Merced/Ingleside,RH-1
3777051,South of Market,CMUO
7003043,Oceanview/Merced/Ingleside,RH-1
5840024,Bernal Heights,RH-1(D)
0773029,Western Addition,RM-4
0300009,Nob Hill,RC-4
4972007,Bayview Hunters Point,RH-1
6283018,Excelsior,RH-1
6072002,Excelsior,RH-1
4260016,Potrero Hill,RH-2
6248017,Visitacion Valley,NCD-LELAND
3610029,Mission,NCT-MISSION
3736100,Financial District/South Beach,C-3-O(SD)
5339009,Bayview Hunters Point,NCD-BAYVIEW
0321024,Tenderloin,RC-4
7053004D,Oceanview/Merced/Ingleside,RH-1
6473002F,Excelsior,RH-1
7120011,Oceanview/Merced/Ingleside,RH-1
7086006,Oceanview/Merced/Ingleside,RH-1
6477021,Excelsior,RH-1
5613049,Bernal Heights,RH-1
4791021,Bayview Hunters Point,RH-1
3206003,Outer Mission,NCD-EXCELSIOR
6091038,Excelsior,RH-1
5910013D,Excelsior,RH-1
6442021,Excelsior,RH-1
5320038,Bayview Hunters Point,RH-2
7107054,Oceanview/Merced/Ingleside,RH-2
6240046,Visitacion Valley,RH-1
7110A014,Outer Mission,RH-1
3752079,South of Market,MUR
6150027,Portola,RH-1
6801028,Outer Mission,RH-1
6958043,Outer Mission,RH-1
3608021,Mission,RH-3
7167001C,Outer Mission,RH-1
7148054,Oceanview/Merced/Ingleside,RH-1
6798020A,Outer Mission,RH-1
5395001,Bayview Hunters Point,RH-1
4937004A,Bayview Hunters Point,RH-1
4790025,Bayview Hunters Point,RH-1
6660037,Bernal Heights,RH-2
6309095,Visitacion Valley,RH-1
6092025A,Excelsior,RH-1
6171003,Portola,RH-1
7150018,Oceanview/Merced/Ingleside,RH-1
3613024,Mission,RH-3
4078003A,Mission,RH-2
5880011,Portola,RH-1
7053014,Oceanview/Merced/Ingleside,RH-1
6616028,Noe Valley,RH-2
3617063,Mission,RM-2
5649023,Bernal Heights,RH-1
4267022A,Mission,RH-3
5957014,Excelsior,RH-1
0319005,Tenderloin,RC-4
5723017,Bernal Heights,RH-1
4030016,Potrero Hill,RH-2
4103023B,Potrero Hill,RH-2
5883011,Portola,RH-2
5501004,Bernal Heights,RH-2
6236034,Visitacion Valley,RH-1
7070008,Oceanview/Merced/Ingleside,RH-1
6481022,Excelsior,RH-1
5615036A,Bernal Heights,NCD-MISSION BERNAL
5992A031,Portola,RH-1
0693013,Tenderloin,RC-4
0302024,Tenderloin,RC-4
6113039,Portola,RH-1
6490022,Excelsior,RH-1
0310014,Financial District/South Beach,C-3-R
7090006,Oceanview/Merced/Ingleside,RH-1
6147036,Portola,RH-1
5376042,Bayview Hunters Point,RH-1
7006041A,Oceanview/Merced/Ingleside,RH-1
0317015,Tenderloin,RC-4
5870006,Excelsior,RH-1
5616036,Bernal Heights,RH-2
3513023,Mission,NCT-3
7003010,Oceanview/Merced/Ingleside,RH-1
6797027,Outer Mission,RH-1
0254022,Nob Hill,RM-4
5979020,Portola,RH-1
7133027,Oceanview/Merced/Ingleside,RH-1
5612050,Bernal Heights,RH-1
7331CMJ,Lakeshore,RM-1
5384C008C,Bayview Hunters Point,RH-1
5644023,Bernal Heights,RH-2
6499001,Excelsior,RH-1(D)
6478007,Excelsior,RH-1
5402068,Bayview Hunters Point,RH-1
6415005,Excelsior,RH-1
6599004,Noe Valley,RH-2
6208050,Visitacion Valley,RH-1
5650025,Bernal Heights,RH-1
3594036,Mission,RM-1
4078004B,Mission,RH-2
4160024,Potrero Hill,RH-2
5524026,Bernal Heights,RH-2
5395025,Bayview Hunters Point,RH-1
5927015,Portola,RH-1
6780020D,Outer Mission,RH-1
3756037,South of Market,NCT-FOLSOM
6092010,Excelsior,RH-2
6177037,Visitacion Valley,RH-1
5802028,Bernal Heights,RH-3
4143015,Mission,RM-1
5067018,Visitacion Valley,RH-1
0146026,Chinatown,NCD-NORTH BEACH
7008028,Oceanview/Merced/Ingleside,RH-1
5746022,Bernal Heights,NC-2
5335B011,Bayview Hunters Point,RH-1
5738006,Bernal Heights,RH-1
3574073,Mission,RH-3
0209002,Chinatown,CVR
6302029,Visitacion Valley,RH-1
7150011,Oceanview/Merced/Ingleside,RH-1
6320015,Visitacion Valley,RH-2
6204012,Visitacion Valley,RH-1
0653029,Pacific Heights,RH-2
6165040,Visitacion Valley,RH-1
6480009,Excelsior,RH-1
0054024,North Beach,RH-3
6511028,Mission,RH-3
4272001,Mission,RH-2
5640031,Bernal Heights,RH-1
4731026,Bayview Hunters Point,RH-1
0104044,North Beach,RH-3
0148005,Chinatown,NCD-NORTH BEACH
5936014,Excelsior,RH-1
5514016A,Bernal Heights,RH-2
0294001,Financial District/South Beach,C-3-R
3568024,Mission,RTO-M
5646007,Bernal Heights,RH-1
0149018,Nob Hill,RM-2
6953010,Outer Mission,RH-1
6343013,Excelsior,RH-1
5395055,Bayview Hunters Point,RH-1
4624453,Bayview Hunters Point,RM-1
6421032,Excelsior,RH-1(D)
0341006,Tenderloin,C-3-G
0649024,Pacific Heights,RM-2
3574021,Mission,RH-3
0118021,Chinatown,RM-2
5612002,Bernal Heights,RH-1
6081011,Excelsior,RH-1
4232020,Potrero Hill,PPS-MU
5928034,Portola,RH-1
6176010,Visitacion Valley,RH-1
0237005,Financial District/South Beach,C-3-O
0650010,Pacific Heights,RH-2
5539011,Bernal Heights,RH-1
5893001,Excelsior,RH-1
7103056,Oceanview/Merced/Ingleside,RH-2
7159012,Outer Mission,RH-1
3568036,Mission,RTO-M
6095012,Excelsior,RH-1
3726072,South of Market,RED
0225017,Chinatown,CRNC
6125003A,Portola,RH-1
7079020,Oceanview/Merced/Ingleside,RH-1
5540020,Bernal Heights,RH-1
7056028E,Oceanview/Merced/Ingleside,RH-1
6234016,Visitacion Valley,RH-1
6017008,Excelsior,RH-1
3154003A,Outer Mission,RH-1
6281038,Excelsior,RH-2
7331CMS,Lakeshore,RM-1
6160027,Portola,RH-1
0324013,Tenderloin,RC-4
6116017,Portola,RH-1
6500029,Excelsior,RH-1(D)
3640049,Mission,RH-2
3779058,South of Market,RED-MX
6309123,Visitacion Valley,RH-1
6997040,Oceanview/Merced/Ingleside,RH-1
6992026,Oceanview/Merced/Ingleside,RH-1
0212005,Nob Hill,RC-4
5673042,Bernal Heights,RH-2
0300002,Nob Hill,RC-4
7032A007D,Outer Mission,RH-1
6199042,Visitacion Valley,RH-1
5551014,Bernal Heights,RH-1
4041009,Potrero Hill,UMU
5549073,Bernal Heights,RH-2
5382020,Bayview Hunters Point,RH-1
6089014,Excelsior,RH-1
7055005A,Oceanview/Merced/Ingleside,RH-1
6786082,Outer Mission,RH-1
3594037,Mission,RM-1
6517029,Mission,NCT-MISSION
6022001B,Excelsior,RH-1
6996034,Oceanview/Merced/Ingleside,RH-1
6307002G,Visitacion Valley,RH-1
6796024,Outer Mission,RH-1
5627042,Bernal Heights,RH-1
5396001O,Bayview Hunters Point,RH-1
5656001,Bernal Heights,RH-1
4002012,Potrero Hill,NC-2
6779034,Outer Mission,RH-1
5896046,Excelsior,RH-1
5743008,Bernal Heights,RH-1
5613031A,Bernal Heights,RH-1
0194035,Chinatown,CVR
6348013E,Excelsior,RH-1
5259025,Bayview Hunters Point,RH-1
5720017,Bernal Heights,RH-2
7069004,Oceanview/Merced/Ingleside,RH-1
4096064,Potrero Hill,RM-1
5336011,Bayview Hunters Point,RH-1
7112026,Oceanview/Merced/Ingleside,RH-2
6468A014,Excelsior,RH-1
6331010,Visitacion Valley,RH-1
6358032,Visitacion Valley,RH-1
5860011,Portola,RH-1
6778017,Outer Mission,RH-1
4099037,Potrero Hill,RH-2
6484038,Excelsior,RH-1
0314015,Financial District/South Beach,C-3-R
4275009,Mission,RH-2
4097022,Potrero Hill,RH-2
5612006,Bernal Heights,RH-1
4210014,Mission,NCT-24TH-MISSION
5335A081,Bayview Hunters Point,RH-1
3568057,Mission,RTO-M
6037022,Portola,RH-1
7019019,Oceanview/Merced/Ingleside,RH-1
4160031C,Potrero Hill,RH-2
4036006,Potrero Hill,RH-2
7331CMZ,Lakeshore,RM-1
5700011,Bernal Heights,RH-1
5645008,Bernal Heights,RH-1
6083037,Excelsior,NCD-EXCELSIOR
0132016,North Beach,RM-1
5720006A,Bernal Heights,RH-2
5978024,Portola,RH-1
7018001,Oceanview/Merced/Ingleside,RH-1
3722020,Financial District/South Beach,C-3-O(SD)
7057009B,Oceanview/Merced/Ingleside,RH-1
6309B012,Visitacion Valley,RH-1
7104034,Oceanview/Merced/Ingleside,RH-1
4624024,Bayview Hunters Point,RM-1
5878029,Portola,RH-1
0243058,Chinatown,RM-4
5428D055,Bayview Hunters Point,RH-1
6443034,Excelsior,RH-1
6209050,Visitacion Valley,RH-1
6478030B,Excelsior,RH-1
4065004,Potrero Hill,RH-2
3568061,Mission,NCT-VALENCIA
3983021,Potrero Hill,RH-3
3645014,Mission,RH-3
7107052,Oceanview/Merced/Ingleside,RH-1
7331078,Lakeshore,RM-1
6339033,Excelsior,RH-1
7001018,Oceanview/Merced/Ingleside,RH-1
5335ACOMD,Bayview Hunters Point,RH-1
6341007C,Excelsior,RH-1
