mapblklot,from_address_num,street_name,street_type,analysis_neighborhood,zoning_code,zoning_district,supervisor_district,supname,Height_Ft,distance_to_transit
2199006A,818,RIVERA,ST,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,1444.6601716459686
2334A004,2217,CECILIA,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1281.039532640197
0544018,1799,UNION,ST,Marina,NCD,UNION STREET NEIGHBORHOOD COMMERCIAL,2,Stephen Sherrill,65,1377.5471853603376
2171051,2100,47TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1994.1918722720773
1742009,1247,08TH,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,40,369.5886206224279
2133A024,348,QUINTARA,ST,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,2265.7599525096707
2957A015,154,JUANITA,WAY,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2348.2194565060295
0577017,1889,BROADWAY,,Pacific Heights,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",2,Stephen Sherrill,70,1398.940292122523
7243002,212,DENSLOWE,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,209.43619332455393
7042B024,155,ROME,ST,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1348.2232552279113
7130036,36,KEMPTON,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,973.3315566252719
0242017,738,STOCKTON,ST,Chinatown,CRNC,CHINATOWN- RESIDENTIAL- NEIGHBORHOOD COMMERCIAL,3,Danny Sauter,65,753.7547500208221
1498012,547,46TH,AVE,Outer Richmond,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",1,Connie Chan,40,496.2630450593639
6502003,410,HOFFMAN,AVE,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,3882.9581813983186
1863014,1555,17TH,AVE,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,1186.732274379341
6025002,5,PRAGUE,ST,McLaren Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,4636.528469616938
2408044,733,TARAVAL,ST,West of Twin Peaks,NCD,INNER TARAVAL STREET NEIGHBORHOOD COMMERCIAL DISTRICT,7,Myrna Melgar,85,263.58052170154076
2999011,259,MOLIMO,DR,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,4156.116638186985
1503055,7725,GEARY,BLVD,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,50,129.89556492060086
1227007,1916,PAGE,ST,Haight Ashbury,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",5,Bilal Mahmood,40,1823.7310608870605
1042045,12,HEATHER,AVE,Presidio Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,2033.728540204684
1536014,1700,ANZA,ST,Inner Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,887.7848629458663
1875019,1593,29TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1317.7037244378573
5619023,166,BONVIEW,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,1763.8602501672526
3073008,256,SANTA CLARA,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1003.8933301171393
0179013,840,JACKSON,ST,Chinatown,CRNC,CHINATOWN- RESIDENTIAL- NEIGHBORHOOD COMMERCIAL,3,Danny Sauter,65,477.1772666160556
2977005,229,GRANVILLE,WAY,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,717.1210312670149
2835024,117,DELLBROOK,AVE,Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1426.372452446995
4035023,343,ARKANSAS,ST,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,2249.1657487304456
7041031,931,DELANO,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,879.2802873304998
5961042,135,VALMAR,TER,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3708.196803304014
3613013,2920,22ND,ST,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",9,Jackie Fielder,40,2130.138037412075
4760012B,1487,QUESADA,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1223.2633956154123
1250008,753,SHRADER,ST,Haight Ashbury,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,50,846.2244799386497
0334017,324,HYDE,ST,Tenderloin,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",5,Bilal Mahmood,80,985.0177635886137
1185024,642,CENTRAL,AVE,Lone Mountain/USF,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",5,Bilal Mahmood,40,2458.327113782167
5517012,25,BESSIE,ST,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2231.963897887043
1176034,1921,MCALLISTER,ST,Lone Mountain/USF,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",2,Stephen Sherrill,50,2163.255649478451
1909027,1638,35TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1638.0238774810455
7331125,259,SUMMIT,WAY,Lakeshore,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",7,Myrna Melgar,40,1537.649952674789
0688204,1408,POST,ST,Japantown,RM-4,"RESIDENTIAL- MIXED, HIGH DENSITY",5,Bilal Mahmood,50,867.7179474025214
6412011,151,ROLPH,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3016.036429456604
5807022,302,CRESCENT,AVE,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2361.1368146913355
2631023,91,WOODLAND,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1043.2086427803652
2104049,1914,31ST,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,3270.758078159419
6500030,381,WINDING,WAY,Excelsior,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",11,Chyanne Chen,40,4100.0687547065045
2190007,2114,28TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1983.3337973643129
6589001A,65,NEWBURG,ST,Noe Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,2138.0262002612367
1047025,1640,LYON,ST,Presidio Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,1424.556448652665
0943008,2664,FILBERT,ST,Marina,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",2,Stephen Sherrill,40,5201.089991839831
1705043,1210,46TH,AVE,Sunset/Parkside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",4,Alan Wong,40,1236.0043210610172
0063026,443,CHESTNUT,ST,North Beach,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",3,Danny Sauter,40,1470.816356417529
5662027,233,ANDERSON,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,2635.017080789279
1587033,632,45TH,AVE,Outer Richmond,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",1,Connie Chan,40,941.3496505132309
2349021,1044,TARAVAL,ST,Sunset/Parkside,NCD,TARAVAL STREET NEIGHBORHOOD COMMERCIAL DISTRICT,4,Alan Wong,85,272.072991373701
1146005,41,CHABOT,TER,Lone Mountain/USF,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,2200.8377783357732
6048015,130,WAYLAND,ST,Portola,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2734.5507415334696
1926010,1653,17TH,AVE,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,1797.5566992872605
0248003,1131,LEAVENWORTH,ST,Nob Hill,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",3,Danny Sauter,65,1879.2152701165496
7069016A,252,MINERVA,ST,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,907.9423592933537
6011014C,225,EXCELSIOR,AVE,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,2629.8187412108523
3544014,198,DOLORES,ST,Castro/Upper Market,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,8,Rafael Mandelman,40,713.5136210378174
6933019,314,ASHTON,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,415.64241378548337
2063016,1875,26TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,3235.07884724289
4079030,2621,19TH,ST,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,3620.9513956585934
3005B026,230,CRESTA VISTA,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,3760.408810693097
1758023A,1382,04TH,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,40,600.9140147624937
1126027,2039,ELLIS,ST,Western Addition,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",5,Bilal Mahmood,50,737.8851974393466
5381020,41,SCOTIA,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2867.257099378922
6942059,1105,PLYMOUTH,AVE,Oceanview/Merced/Ingleside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",11,Chyanne Chen,40,735.1787203413733
7105031,274,FARALLONES,ST,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,418.13817836988864
2860022,19,MENDOSA,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1811.1988249414703
2172040,2100,46TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1976.152728674738
2424012,2549,23RD,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1035.30916828429
1267071,144,CARL,ST,Haight Ashbury,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,40,351.003525294389
7049010,44,MAJESTIC,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,652.9513808687101
6236031A,209,ALPHA,ST,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,770.1941453268122
5957023,197,EDINBURGH,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,2859.9169254210906
0510008,2210,GREENWICH,ST,Marina,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,3525.415448969981
1145A009,2550,GOLDEN GATE,AVE,Lone Mountain/USF,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,2246.4650313819857
4209012,1176,YORK,ST,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2897.388367560277
3042013,68,FERNWOOD,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,2593.283495153681
6970003,2144,ALEMANY,BLVD,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1534.8058952845222
1897007,1627,46TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1556.6371369334804
0859028,451,HAIGHT,ST,Hayes Valley,NCD,LOWER HAIGHT STREET NEIGHBORHOOD COMMERCIAL DISTRICT,5,Bilal Mahmood,65,900.6979046352859
5987004,318,HOLYOKE,ST,Portola,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,4267.924234091356
2702021,191,CASELLI,AVE,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,2492.2134588819167
2699043,301,DOUGLASS,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1757.0015845427135
1408037,302,26TH,AVE,Outer Richmond,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",1,Connie Chan,40,1285.7423307541605
2396011,2467,29TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,502.7882142388178
7064036,2639,ALEMANY,BLVD,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1057.162150681369
5328028,1890,QUESADA,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1219.5890545657026
5896009,300,MAYNARD,ST,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,3017.2044782741227
0572019,2150,POLK,ST,Russian Hill,NCD,POLK STREET NEIGHBORHOOD COMMERCIAL,3,Danny Sauter,85,572.8757998454347
6201007,122,TUCKER,AVE,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,1871.8184514335896
7512001,65,AMBER,DR,Noe Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,4162.086146704239
1290022,1504,SHRADER,ST,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1592.8397477752746
7112009,38,SADOWA,ST,Oceanview/Merced/Ingleside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",11,Chyanne Chen,40,299.9503960521705
0656031,2572,PINE,ST,Pacific Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,1576.2339121140103
6632038,349,29TH,ST,Noe Valley,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",8,Rafael Mandelman,50,387.44914647477555
6917A024,80,ENTRADA,CT,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1380.5605093747677
7054072,709,LAKEVIEW,AVE,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1755.8973884980273
2198013A,920,RIVERA,ST,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1449.7484409994481
0612005,2221,WEBSTER,ST,Pacific Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,2493.8600593972583
3005C016,100,CRESTA VISTA,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,3183.1284296341023
3602080,4069,19TH,ST,Castro/Upper Market,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",8,Rafael Mandelman,40,1305.9234926568088
1823027,1478,31ST,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,511.8850890944491
0524017,2506,POLK,ST,Russian Hill,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",3,Danny Sauter,85,696.9934229771495
1901017,1679,42ND,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,1891.8982604327498
1607011C,785,37TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1911.1142591685707
2016004,1715,33RD,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2173.3461849284213
2088019,1900,47TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,3349.6951183820647
1367037,146,08TH,AVE,Inner Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1770.3835551701084
2988026,501,ULLOA,ST,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1555.143509112667
1566004,515,23RD,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,953.1674706571725
6930001,744,URBANO,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1110.6070131078204
3525072,1359,HARRISON,ST,South of Market,RED-MX,RESIDENTIAL ENCLAVE-MIXED,6,Matt Dorsey,45,2645.108382778061
0089038,625,GREENWICH,ST,North Beach,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",3,Danny Sauter,40,2030.109016329249
1828001B,2015,JUDAH,ST,Sunset/Parkside,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",4,Alan Wong,50,100.21017176128736
1839001C,1417,14TH,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,40,305.606922759419
3763033,31,STILLMAN,ST,Financial District/South Beach,CMUO,CENTRAL SOMA-MIXED USE OFFICE,6,Matt Dorsey,85,1698.0610277744574
1209065,1730,FELL,ST,Lone Mountain/USF,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",5,Bilal Mahmood,40,2831.0413535974353
3147031,61,SANTA ROSA,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1710.330486355383
2988A028A,211,WAWONA,ST,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,617.6288388883614
3609014,2484,MISSION,ST,Mission,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,9,Jackie Fielder,55,1863.2874484441363
2834033,276,DELLBROOK,AVE,Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,1873.3673630681185
4591B009,144,ALBATROSS,CT,Bayview Hunters Point,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",10,Shamann Walton,40,5607.0131705576
7272011,431,LAKESHORE,DR,Sunset/Parkside,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",4,Alan Wong,40,2812.009556468475
2002019,1775,47TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2551.5151373338713
6548028,4087,25TH,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1230.1146647254436
6236025,84,ARLETA,AVE,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,675.9761581235605
7548032,101,MOFFITT,ST,Glen Park,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,1366.2794499081072
5323018,1557,OAKDALE,AVE,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,345.5724458631023
2330012A,2274,20TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,892.8723406865818
2367029,2322,39TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,604.3798418058645
7221004,41,LAGUNITAS,DR,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,548.4506235185697
7044C015,11,SALA,TER,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1728.4930421819267
1000029,3059,WASHINGTON,ST,Pacific Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",2,Stephen Sherrill,40,2732.797285965937
3638040B,830,SHOTWELL,ST,Mission,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",9,Jackie Fielder,40,1291.2520362021585
5620034,171,BONVIEW,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,1852.4893308455441
1861B016,115,LOMITA,AVE,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,1391.4066158685473
2116003B,1947,18TH,AVE,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,3065.3835470304953
2003002,1707,46TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2111.625243781998
2314021B,2286,36TH,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,790.8574429622582
1707015,1271,43RD,AVE,Sunset/Parkside,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",4,Alan Wong,40,883.9534474721193
0862053,638,WALLER,ST,Haight Ashbury,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",5,Bilal Mahmood,50,614.3990033685454
2652018,4367,17TH,ST,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1949.7550439771626
0472038,1329,BAY,ST,Marina,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",2,Stephen Sherrill,40,1120.5615135624278
5652021,3659,FOLSOM,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3209.5733078664002
6664056A,225,RANDALL,ST,Glen Park,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,1084.1256750129544
2026002,1707,23RD,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2133.7060177618714
1506027,586,39TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,570.6904182718202
6617023,1569,DOLORES,ST,Noe Valley,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,738.8266509629482
5400007,226,WATERVILLE,ST,Bayview Hunters Point,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,3043.3137088963995
7043010C,76,OTTAWA,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1615.2645633962272
1925005B,1643,18TH,AVE,Inner Sunset,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,1668.2882991278232
7510024,45,TURQUOISE,WAY,Noe Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",8,Rafael Mandelman,40,3974.547884380265
3549024,1454,15TH,ST,Mission,UMU,URBAN MIXED USE,9,Jackie Fielder,58,1071.6425058714626
2654027,55,URANUS,TER,Castro/Upper Market,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",8,Rafael Mandelman,40,2167.810275702382
4270004,1232,ALABAMA,ST,Mission,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2093.054764606975
0546001A,1525,UNION,ST,Marina,NCD,UNION STREET NEIGHBORHOOD COMMERCIAL,2,Stephen Sherrill,65,207.14257947709197
7146005A,2260,CAYUGA,AVE,Outer Mission,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1253.036351440462
2333A018,2287,16TH,AVE,West of Twin Peaks,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",7,Myrna Melgar,40,801.755764561106
6995042,474,RALSTON,ST,Oceanview/Merced/Ingleside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",11,Chyanne Chen,40,1825.9177910154958
4071003,618,CAROLINA,ST,Potrero Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",10,Shamann Walton,40,2611.310102104566
0069082,2335,HYDE,ST,Russian Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",3,Danny Sauter,50,1329.957034999532
0309007,146,GEARY,ST,Financial District/South Beach,C-3-R,DOWNTOWN- RETAIL,3,Danny Sauter,130,229.50013895757553
6209049,290,TEDDY,AVE,Visitacion Valley,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",10,Shamann Walton,40,2053.7541324715694
5544020,105,MANCHESTER,ST,Bernal Heights,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",9,Jackie Fielder,40,2965.130831459726
2963B023,324,MOLIMO,DR,West of Twin Peaks,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",7,Myrna Melgar,40,4207.207805224976
2502A016,2774,34TH,AVE,Sunset/Parkside,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",4,Alan Wong,40,2430.19127130689
5730019,469,NEVADA,ST,Bernal Heights,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",9,Jackie Fielder,40,3885.563825763869
1265007,300,CARL,ST,Inner Sunset,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",8,Rafael Mandelman,40,517.1630291431746
1687051,892,45TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,50,2646.7851129111373
2101024,1995,33RD,AVE,Sunset/Parkside,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",4,Alan Wong,40,2790.6906264708623
1379042,1835,LAKE,ST,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,1973.4366145635543
0151042,40,GLOVER,ST,Nob Hill,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",3,Danny Sauter,40,2193.173422148851
1509006,533,35TH,AVE,Outer Richmond,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",1,Connie Chan,40,338.72056401295106
1769014,1367,14TH,AVE,Inner Sunset,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",7,Myrna Melgar,40,355.13741084293383
